id,name,symbol,slug,rank,is_active,first_historical_data,last_historical_data,platform,amount,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated
1975,Chainlink,LINK,chainlink,20,1,2017-09-20T20:54:59.000Z,2022-01-19T06:49:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x514910771af9ca656af840dff83e8264ecf986ca'}",0.004649361009201434,21.50833196262723,1058912145.0609199,11.6974,-2.47095213,-8.67007691,-16.63952868,15.6834872,-23.81389341,-22.38780348,10044596420.805286,0.5162,21508331962.63,2022-01-19T07:50:00.000Z
2539,Ren,REN,ren,141,1,2018-02-21T16:19:21.000Z,2022-01-19T06:49:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x408e41876cccdc0f92210600ef50372656052a38'}",0.24308796859834392,0.41137371206236356,33426633.88415064,19.3915,-2.65422391,-7.29989386,-10.28052901,-15.16901384,-49.73092517,-62.38817266,410453901.42921567,0.0211,411373712.06,2022-01-19T07:50:00.000Z
4056,Ampleforth,AMPL,ampleforth,347,1,2019-06-28T23:04:11.000Z,2022-01-19T06:49:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xd46ba6d942050d489dbd938a2c909a5d5039a161'}",0.09724665339913337,1.0283130216272427,14135008.68528894,-14.4518,-7.28352942,-16.86601899,18.34833835,12.3556465,25.98598226,-25.38702492,134831087.14534697,0.0069,406538605.89,2022-01-19T07:50:00.000Z
5631,Orion Protocol,ORN,orion-protocol,292,1,2020-07-16T14:04:23.000Z,2022-01-19T06:49:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x0258F474786DdFd37ABCE6df6BBb1Dd5dfC4434a'}",0.0211443493667515,4.729395937679942,7437708.29281452,0.1821,-1.79086852,-5.74210514,-0.19956331,-3.38631364,-41.05297739,-42.57096825,194614642.8355296,0.0,472939593.77,2022-01-19T07:50:00.000Z
5805,Avalanche,AVAX,avalanche,12,1,2020-09-22T06:44:00.000Z,2022-01-19T06:49:00.000Z,,0.0012253707980165954,81.60795096623943,548722795.3230189,-0.2338,-3.55475628,-5.97693365,-9.73743507,-22.15834473,-31.18239533,31.28784437,19941082302.508854,1.0248,32307876975.21,2022-01-19T07:50:00.000Z
5821,Aleph.im,ALEPH,aleph-im,360,1,2020-07-08T11:49:19.000Z,2022-01-19T06:49:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x27702a26126e0b3702af63ee09ac4d1a084ef628'}",0.13606127957149597,0.7349629543021688,1633876.86781043,4.3654,-0.24887543,0.93772654,7.46861285,81.41769153,22.89988859,32.85910292,136256127.77473918,0.0,367481477.15,2022-01-19T07:50:00.000Z
5829,TrustSwap,SWAP,trustswap,383,1,2020-07-10T04:09:27.000Z,2022-01-19T06:49:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xcc4304a31d09258b0029ea7fe63d032f52e44efe'}",0.08241487976261874,1.2133731225238942,1140954.55289282,-11.2034,-1.27445055,-2.77890875,-4.02646295,-1.12288221,9.29070643,-4.52397597,118370814.5739642,0.0061,121337312.25,2022-01-19T07:50:00.000Z
5892,Anyswap,ANY,anyswap,237,1,2020-08-17T20:09:21.000Z,2022-01-19T06:49:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xf99d58e463a2e07e5692127302c20a191861b4d6'}",0.004307743980310514,23.214007252304654,39777367.75650211,24.2551,-3.64757638,-11.29879455,19.74092957,4.17859114,114.53946783,142.02585888,432693314.6722527,0.0,2321400725.23,2022-01-19T07:50:00.000Z
6758,SushiSwap,SUSHI,sushiswap,96,1,2020-08-28T16:34:16.000Z,2022-01-19T06:49:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",0.016866027066119664,5.929078591417607,202349621.93096846,16.3149,-1.4542838,-6.89974267,-15.19811868,12.81577365,-34.00650008,-47.09198153,754442302.868158,0.0388,1482269647.85,2022-01-19T07:50:00.000Z
6951,Reef,REEF,reef,186,1,2020-12-28T06:40:00.000Z,2022-01-19T06:50:00.000Z,,7.853076252099302,0.012733863366380504,20061970.81160424,-26.0893,-3.15767019,-5.4086077,-9.66296084,-30.64725499,-54.39321493,-59.81396031,223233614.0924858,0.0115,205175037.84,2022-01-19T07:50:00.000Z
